City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,empangeni,-28.762,31.8933,59.7,94,2,3.27,ZA,1691446490
286,queensbury,53.7667,-1.9167,54.75,88,38,11.07,GB,1691445927
287,new norfolk,-42.7826,147.0587,45.72,95,18,3.15,AU,1691446421
288,kuala belait,4.5833,114.1833,77.16,93,41,4.76,BN,1691446490
289,boyolangu,-8.1181,111.8935,70.77,90,58,4.34,ID,1691446490
290,woolgoolga,-30.1106,153.2007,57.07,79,41,11.63,AU,1691446490
291,puerto baquerizo moreno,-0.9,-89.6,79.79,69,75,14.97,EC,1691446353
292,tres arroyos,-38.3739,-60.2798,41.34,61,2,7.2,AR,1691446490
293,bredasdorp,-34.5322,20.0403,50.11,87,0,5.23,ZA,1691446490
294,ghormach,35.7306,63.7826,77.99,27,0,2.59,AF,1691446490
295,bikenibeu village,1.3673,173.1241,84.16,74,75,4.61,KI,1691446490
296,strensall,54.04,-1.0351,57.56,89,23,8.88,GB,1691446490
297,varde,55.6211,8.4807,57.97,68,75,28.77,DK,1691446491
298,santa maria da boa vista,-8.8078,-39.8256,82.38,42,3,16.49,BR,1691446491
299,urangan,-25.3,152.9,62.56,81,68,13.02,AU,1691446491
300,mo i rana,66.3128,14.1428,61.32,94,75,3.44,NO,1691446491
301,severo-yeniseyskiy,60.3725,93.0408,51.19,87,100,3.29,RU,1691446491
302,kamensk-ural'skiy,56.4185,61.9329,60.89,75,91,5.93,RU,1691446252
303,dadukou,26.5479,101.7054,70.95,97,90,2.84,CN,1691446491
304,pinarbasi,38.7229,36.3931,71.53,52,0,3.71,TR,1691446491
305,island harbour,50.724,-1.2758,59.99,89,44,8.57,GB,1691446399
306,cooper's town,26.8667,-77.5167,85.93,65,76,5.66,BS,1691446491
307,altar,30.7,-111.8167,101.79,29,9,9.26,MX,1691446491
308,tufanganj,26.3167,89.6667,78.19,95,100,2.73,IN,1691446491
309,poso,-1.3959,120.7524,79.34,68,53,4.43,ID,1691446491
310,honiara,-9.4333,159.95,79.07,86,91,2.55,SB,1691446491
311,saint-pierre,-21.3393,55.4781,67.68,77,40,8.05,RE,1691446491
312,pimentel,-6.8367,-79.9342,75.49,69,75,9.22,PE,1691446491
313,totana,37.7688,-1.5023,76.26,80,30,5.46,ES,1691446208
314,cestos city,5.46,-9.5828,77.99,85,100,9.33,LR,1691446492
315,progreso,21.2833,-89.6667,96.12,71,4,16.46,MX,1691446492
316,carutapera,-1.195,-46.02,77.81,88,62,6.91,BR,1691446492
317,atar,20.5169,-13.0499,92.01,19,1,5.86,MR,1691446492
318,sabang,5.8933,95.3214,81.03,79,100,20.98,ID,1691446492
319,port augusta,-32.5,137.7667,43.0,72,0,2.08,AU,1691446492
320,san jose de jachal,-30.2406,-68.7469,58.33,28,6,2.42,AR,1691446492
321,igrim,63.1906,64.4162,62.96,81,0,7.99,RU,1691446492
322,flin flon,54.7682,-101.865,58.84,82,75,9.22,CA,1691446492
323,ambovombe,-25.1667,46.0833,65.89,80,28,5.53,MG,1691446492
324,khonsa,27.0167,95.5667,70.12,98,100,3.78,IN,1691446492
325,bandar lampung,-5.4254,105.258,72.55,96,74,2.01,ID,1691446492
326,haradok,55.4624,29.9816,61.23,95,100,19.42,BY,1691446492
327,buston,40.2342,69.6948,77.18,57,40,8.95,TJ,1691446492
328,ponta delgada,37.7333,-25.6667,72.32,78,20,4.61,PT,1691446492
329,galveston,29.3669,-94.9669,101.14,63,0,17.27,US,1691446493
330,marolambo,-20.05,48.1167,58.87,98,48,1.99,MG,1691446493
331,erenhot,43.6475,111.9767,75.18,45,9,8.23,CN,1691446493
332,patan,27.6667,85.3333,71.98,94,100,0.0,NP,1691446493
333,thinadhoo,0.5333,72.9333,81.93,74,97,5.75,MV,1691446420
334,aweil,8.7682,27.4002,71.58,95,69,2.3,SS,1691446493
335,rocha,-34.4833,-54.3333,43.97,76,4,8.14,UY,1691446493
336,cidade velha,14.9167,-23.6167,79.27,73,75,12.66,CV,1691446493
337,kamina,-8.7386,24.9906,66.33,42,0,3.47,CD,1691446493
338,jamestown,42.097,-79.2353,70.02,97,100,9.22,US,1691445767
339,balabac,7.9868,117.0645,81.84,79,3,9.4,PH,1691446493
340,bikaner,28.0167,73.3,83.03,68,22,24.4,IN,1691446493
341,fale old settlement,-9.3852,-171.2468,82.51,70,7,14.67,TK,1691446493
342,campos do jordao,-22.7394,-45.5914,59.14,46,2,2.8,BR,1691446493
343,rio grande,-32.035,-52.0986,53.71,69,18,13.62,BR,1691446493
344,tsetserleg,47.475,101.4542,51.15,79,65,2.53,MN,1691446493
345,mossel bay,-34.1831,22.146,56.37,74,0,9.06,ZA,1691446494
346,chanar ladeado,-33.3252,-62.0383,50.16,51,2,7.92,AR,1691446494
347,forster,-32.1667,152.5167,47.37,99,7,5.93,AU,1691446494
348,cidreira,-30.1811,-50.2056,60.67,78,100,10.58,BR,1691446476
349,dhidhdhoo,6.8833,73.1,81.5,78,93,14.56,MV,1691446494
350,nova sintra,14.8667,-24.7167,72.79,77,96,14.65,CV,1691446494
351,meadow lakes,61.6247,-149.6011,71.04,55,20,0.0,US,1691446494
352,talnakh,69.4865,88.3972,58.21,61,98,1.59,RU,1691446400
353,kulhudhuffushi,6.6221,73.07,81.43,79,99,14.14,MV,1691446494
354,watsa,3.0372,29.5355,64.72,98,100,3.0,CD,1691446494
355,tapa,59.2606,25.9586,67.64,88,1,6.96,EE,1691446494
356,vadso,70.0744,29.7487,63.48,72,75,5.75,NO,1691446494
357,cova figueira,14.8905,-24.2934,73.62,78,49,11.7,CV,1691446494
358,baraki barak,33.9675,68.9486,69.12,31,0,2.98,AF,1691446494
359,gebeit,21.0667,36.3167,85.75,22,3,0.18,SD,1691446494
360,betioky,-23.7167,44.3833,62.98,81,72,3.31,MG,1691446494
361,aleksandrovsk-sakhalinskiy,50.8975,142.1561,67.48,59,46,7.2,RU,1691446494
362,bodo,67.28,14.405,60.84,95,75,16.11,NO,1691446494
363,solnechnyy,50.7214,136.6319,66.83,53,97,1.86,RU,1691446494
